unit_cluster_id,rank,go_term,go_name,source_split,qval,pval,odds_ratio_approx,a_in_has,unit_cluster_proteins,term_precision,total_proteins,b_in_not,c_out_has,d_out_not
0,1,GO:0004553,,train,6.815438179441822e-148,1.1244318973868531e-150,242.296245210728,113,128,0.8828125,28980,15,870,27982
0,2,GO:0016798,,train,1.968732027592137e-142,3.532993305470853e-145,227.25859247135844,115,128,0.8984375,28980,13,1081,27771
0,3,GO:0097599,,train,3.9795888983086206e-17,1.489941312328056e-18,85.17339901477833,12,128,0.09375,28980,116,35,28817
0,4,GO:0015926,,train,3.250568661215194e-08,2.100934852092254e-09,27.411428571428573,8,128,0.0625,28980,120,70,28782
0,5,GO:0008810,,train,5.4784226745901166e-08,3.6177664569386525e-09,36.227452389507725,7,128,0.0546875,28980,121,46,28806
0,6,GO:0015925,,train,1.8828274183703302e-05,1.647726041113402e-06,29.28048780487805,5,128,0.0390625,28980,123,40,28812
0,7,GO:0015929,,train,0.0046098457077676,0.0006341223110991,19.76022857142857,3,128,0.0234375,28980,125,35,28817
0,8,GO:0008061,,train,0.014173554085479,0.0022842440923889,12.341142857142858,3,128,0.0234375,28980,125,56,28796
0,9,GO:0030247,,train,0.0154179074627656,0.0025126784557903,11.914758620689655,3,128,0.0234375,28980,125,58,28794
2,1,GO:0004553,,train,7.363660253416645e-19,2.5192759325996335e-20,70.36823425022183,17,24,0.7083333333333334,28980,7,966,27990
2,2,GO:0016798,,train,1.8692888407188188e-17,6.8903277624690045e-19,57.21664849145765,17,24,0.7083333333333334,28980,7,1179,27777
2,3,GO:0008810,,train,0.0061688593666265,0.0008826813013088,51.524064171122994,2,24,0.08333333333333333,28980,22,51,28905
2,4,GO:0016811,,train,0.008924017056028,0.0013417409070461,15.58555133079848,3,24,0.125,28980,21,263,28693
3,1,GO:0016779,,train,0.0004368297737417,4.72813956672311e-05,5.904365904365904,9,99,0.09090909090909091,28980,90,481,28400
3,2,GO:0051213,,train,0.0005078473206531,5.567373084529193e-05,9.846602608098832,6,99,0.06060606060606061,28980,93,188,28693
3,3,GO:0004197,,train,0.003416980322055,0.0004535171283331,12.118315789473684,4,99,0.04040404040404041,28980,95,100,28781
3,4,GO:0016705,,train,0.0046365776970265,0.0006386718359474,6.167224080267559,6,99,0.06060606060606061,28980,93,299,28582
3,5,GO:0008234,,train,0.0116452447669836,0.0018206544215132,6.116380415278134,5,99,0.050505050505050504,28980,94,249,28632
3,6,GO:0000287,,train,0.0140427947558968,0.0022589027715967,3.7072882274676,8,99,0.08080808080808081,28980,91,669,28212
